,co2
1958-03-29,316.1
1958-04-05,317.3
1958-04-12,317.6
1958-04-19,317.5
1958-04-26,316.4
1958-05-03,316.9
1958-05-10,
1958-05-17,317.5
1958-05-24,317.9
1958-05-31,
1958-06-07,
1958-06-14,
1958-06-21,
1958-06-28,
1958-07-05,315.8
1958-07-12,315.8
1958-07-19,315.4
1958-07-26,315.5
1958-08-02,315.6
1958-08-09,315.1
1958-08-16,315.0
1958-08-23,
1958-08-30,314.1
1958-09-06,313.5
1958-09-13,
1958-09-20,
1958-09-27,
1958-10-04,
1958-10-11,
1958-10-18,
1958-10-25,
1958-11-01,
1958-11-08,313.0
1958-11-15,313.2
1958-11-22,313.5
1958-11-29,314.0
1958-12-06,314.5
1958-12-13,314.4
1958-12-20,314.7
1958-12-27,315.2
1959-01-03,315.2
1959-01-10,315.5
1959-01-17,315.6
1959-01-24,315.8
1959-01-31,315.4
1959-02-07,
1959-02-14,316.9
1959-02-21,316.6
1959-02-28,316.6
1959-03-07,316.8
1959-03-14,
1959-03-21,316.7
1959-03-28,316.7
1959-04-04,317.7
1959-04-11,317.1
1959-04-18,317.6
1959-04-25,318.3
1959-05-02,318.2
1959-05-09,318.7
1959-05-16,318.0
1959-05-23,318.4
1959-05-30,
1959-06-06,318.5
1959-06-13,318.1
1959-06-20,317.8
1959-06-27,317.7
1959-07-04,316.8
1959-07-11,316.8
1959-07-18,316.4
1959-07-25,316.1
1959-08-01,315.6
1959-08-08,314.9
1959-08-15,
1959-08-22,315.0
1959-08-29,314.1
1959-09-05,314.4
1959-09-12,313.9
1959-09-19,313.5
1959-09-26,313.5
1959-10-03,313.0
1959-10-10,313.1
1959-10-17,313.4
1959-10-24,313.4
1959-10-31,314.1
1959-11-07,314.4
1959-11-14,314.8
1959-11-21,315.2
1959-11-28,315.1
1959-12-05,315.0
1959-12-12,315.6
1959-12-19,315.8
1959-12-26,315.7
1960-01-02,315.7
1960-01-09,316.4
1960-01-16,316.7
1960-01-23,316.5
1960-01-30,316.6
1960-02-06,316.6
1960-02-13,316.9
1960-02-20,317.4
1960-02-27,317.0
1960-03-05,316.9
1960-03-12,317.7
1960-03-19,318.0
1960-03-26,317.7
1960-04-02,318.6
1960-04-09,319.3
1960-04-16,319.0
1960-04-23,319.0
1960-04-30,319.7
1960-05-07,319.9
1960-05-14,319.8
1960-05-21,320.0
1960-05-28,320.0
1960-06-04,319.4
1960-06-11,320.0
1960-06-18,319.4
1960-06-25,319.0
1960-07-02,318.1
1960-07-09,318.6
1960-07-16,318.4
1960-07-23,317.9
1960-07-30,317.3
1960-08-06,316.6
1960-08-13,316.7
1960-08-20,315.1
1960-08-27,314.7
1960-09-03,314.7
1960-09-10,314.5
1960-09-17,314.2
1960-09-24,313.3
1960-10-01,313.6
1960-10-08,313.3
1960-10-15,313.9
1960-10-22,314.2
1960-10-29,314.2
1960-11-05,314.5
1960-11-12,315.1
1960-11-19,315.1
1960-11-26,315.4
1960-12-03,315.8
1960-12-10,316.0
1960-12-17,316.2
1960-12-24,316.4
1960-12-31,316.6
1961-01-07,316.7
1961-01-14,317.0
1961-01-21,317.0
1961-01-28,317.0
1961-02-04,317.0
1961-02-11,317.7
1961-02-18,317.9
1961-02-25,318.0
1961-03-04,318.0
1961-03-11,318.5
1961-03-18,318.9
1961-03-25,318.7
1961-04-01,319.4
1961-04-08,319.5
1961-04-15,318.9
1961-04-22,319.7
1961-04-29,319.6
1961-05-06,320.6
1961-05-13,320.4
1961-05-20,320.6
1961-05-27,320.3
1961-06-03,320.0
1961-06-10,320.0
1961-06-17,319.6
1961-06-24,319.4
1961-07-01,319.2
1961-07-08,319.0
1961-07-15,318.4
1961-07-22,317.1
1961-07-29,317.9
1961-08-05,317.9
1961-08-12,317.3
1961-08-19,316.7
1961-08-26,315.2
1961-09-02,315.2
1961-09-09,314.9
1961-09-16,314.5
1961-09-23,315.0
1961-09-30,315.6
1961-10-07,314.9
1961-10-14,315.4
1961-10-21,315.4
1961-10-28,315.7
1961-11-04,315.8
1961-11-11,315.7
1961-11-18,316.2
1961-11-25,316.5
1961-12-02,316.5
1961-12-09,317.0
1961-12-16,316.9
1961-12-23,317.1
1961-12-30,317.4
1962-01-06,317.9
1962-01-13,318.1
1962-01-20,318.0
1962-01-27,317.7
1962-02-03,318.0
1962-02-10,318.3
1962-02-17,318.9
1962-02-24,319.3
1962-03-03,319.2
1962-03-10,319.4
1962-03-17,319.9
1962-03-24,319.7
1962-03-31,320.2
1962-04-07,320.2
1962-04-14,321.0
1962-04-21,320.7
1962-04-28,320.3
1962-05-05,320.8
1962-05-12,320.7
1962-05-19,321.0
1962-05-26,321.1
1962-06-02,320.9
1962-06-09,320.8
1962-06-16,320.5
1962-06-23,320.1
1962-06-30,320.2
1962-07-07,320.1
1962-07-14,319.9
1962-07-21,319.0
1962-07-28,318.7
1962-08-04,318.6
1962-08-11,317.2
1962-08-18,317.4
1962-08-25,
1962-09-01,
1962-09-08,
1962-09-15,316.6
1962-09-22,315.7
1962-09-29,315.9
1962-10-06,315.1
1962-10-13,315.4
1962-10-20,315.7
1962-10-27,315.7
1962-11-03,315.9
1962-11-10,316.4
1962-11-17,316.9
1962-11-24,317.0
1962-12-01,317.1
1962-12-08,317.3
1962-12-15,317.6
1962-12-22,318.1
1962-12-29,
1963-01-05,318.5
1963-01-12,318.7
1963-01-19,318.9
1963-01-26,318.8
1963-02-02,318.7
1963-02-09,318.9
1963-02-16,
1963-02-23,319.3
1963-03-02,319.3
1963-03-09,319.7
1963-03-16,319.8
1963-03-23,320.3
1963-03-30,320.2
1963-04-06,320.3
1963-04-13,320.9
1963-04-20,322.0
1963-04-27,321.9
1963-05-04,
1963-05-11,321.9
1963-05-18,322.2
1963-05-25,322.2
1963-06-01,322.3
1963-06-08,322.0
1963-06-15,321.8
1963-06-22,320.8
1963-06-29,320.4
1963-07-06,320.1
1963-07-13,319.8
1963-07-20,319.5
1963-07-27,319.0
1963-08-03,318.6
1963-08-10,318.2
1963-08-17,317.7
1963-08-24,317.1
1963-08-31,316.4
1963-09-07,316.8
1963-09-14,315.9
1963-09-21,316.0
1963-09-28,315.9
1963-10-05,316.2
1963-10-12,315.6
1963-10-19,316.1
1963-10-26,316.3
1963-11-02,316.6
1963-11-09,316.8
1963-11-16,317.1
1963-11-23,
1963-11-30,317.5
1963-12-07,318.0
1963-12-14,318.2
1963-12-21,318.5
1963-12-28,318.7
1964-01-04,319.0
1964-01-11,319.4
1964-01-18,319.8
1964-01-25,
1964-02-01,
1964-02-08,
1964-02-15,
1964-02-22,
1964-02-29,
1964-03-07,
1964-03-14,
1964-03-21,
1964-03-28,
1964-04-04,
1964-04-11,
1964-04-18,
1964-04-25,
1964-05-02,
1964-05-09,
1964-05-16,
1964-05-23,
1964-05-30,322.0
1964-06-06,322.0
1964-06-13,
1964-06-20,
1964-06-27,321.5
1964-07-04,321.1
1964-07-11,319.9
1964-07-18,320.2
1964-07-25,320.0
1964-08-01,319.1
1964-08-08,
1964-08-15,318.6
1964-08-22,318.2
1964-08-29,318.1
1964-09-05,317.4
1964-09-12,316.5
1964-09-19,315.5
1964-09-26,317.0
1964-10-03,316.9
1964-10-10,316.5
1964-10-17,316.8
1964-10-24,317.0
1964-10-31,317.6
1964-11-07,317.7
1964-11-14,317.6
1964-11-21,317.5
1964-11-28,318.1
1964-12-05,318.4
1964-12-12,318.5
1964-12-19,318.9
1964-12-26,318.9
1965-01-02,319.0
1965-01-09,319.1
1965-01-16,319.1
1965-01-23,319.7
1965-01-30,320.1
1965-02-06,320.2
1965-02-13,320.1
1965-02-20,320.7
1965-02-27,320.8
1965-03-06,321.0
1965-03-13,320.9
1965-03-20,320.4
1965-03-27,321.4
1965-04-03,321.9
1965-04-10,322.2
1965-04-17,322.1
1965-04-24,321.8
1965-05-01,322.4
1965-05-08,322.2
1965-05-15,321.9
1965-05-22,321.6
1965-05-29,322.2
1965-06-05,321.8
1965-06-12,321.7
1965-06-19,321.7
1965-06-26,321.9
1965-07-03,321.9
1965-07-10,321.8
1965-07-17,321.7
1965-07-24,320.4
1965-07-31,319.4
1965-08-07,319.4
1965-08-14,318.0
1965-08-21,318.8
1965-08-28,318.7
1965-09-04,318.3
1965-09-11,318.0
1965-09-18,318.2
1965-09-25,316.8
1965-10-02,316.6
1965-10-09,317.2
1965-10-16,317.8
1965-10-23,317.5
1965-10-30,317.6
1965-11-06,318.3
1965-11-13,319.2
1965-11-20,318.9
1965-11-27,319.1
1965-12-04,319.0
1965-12-11,319.3
1965-12-18,319.3
1965-12-25,319.7
1966-01-01,319.6
1966-01-08,320.4
1966-01-15,320.6
1966-01-22,321.0
1966-01-29,321.1
1966-02-05,321.2
1966-02-12,321.7
1966-02-19,321.6
1966-02-26,321.8
1966-03-05,322.1
1966-03-12,322.1
1966-03-19,322.5
1966-03-26,322.8
1966-04-02,323.5
1966-04-09,323.6
1966-04-16,323.8
1966-04-23,323.9
1966-04-30,323.5
1966-05-07,324.0
1966-05-14,324.1
1966-05-21,323.7
1966-05-28,324.3
1966-06-04,324.0
1966-06-11,323.8
1966-06-18,323.7
1966-06-25,323.3
1966-07-02,322.8
1966-07-09,322.9
1966-07-16,
1966-07-23,
1966-07-30,
1966-08-06,321.3
1966-08-13,320.8
1966-08-20,319.1
1966-08-27,319.6
1966-09-03,319.9
1966-09-10,318.2
1966-09-17,318.4
1966-09-24,318.3
1966-10-01,317.9
1966-10-08,317.9
1966-10-15,318.2
1966-10-22,318.6
1966-10-29,318.3
1966-11-05,
1966-11-12,319.5
1966-11-19,320.0
1966-11-26,320.2
1966-12-03,320.8
1966-12-10,320.8
1966-12-17,321.1
1966-12-24,321.3
1966-12-31,321.3
1967-01-07,321.9
1967-01-14,322.9
1967-01-21,
1967-01-28,
1967-02-04,322.1
1967-02-11,322.2
1967-02-18,322.8
1967-02-25,322.6
1967-03-04,322.9
1967-03-11,322.6
1967-03-18,323.3
1967-03-25,323.2
1967-04-01,323.1
1967-04-08,324.2
1967-04-15,324.4
1967-04-22,324.6
1967-04-29,325.1
1967-05-06,325.2
1967-05-13,324.7
1967-05-20,325.0
1967-05-27,324.9
1967-06-03,324.9
1967-06-10,324.6
1967-06-17,323.3
1967-06-24,323.5
1967-07-01,322.8
1967-07-08,322.8
1967-07-15,322.4
1967-07-22,322.4
1967-07-29,322.0
1967-08-05,321.6
1967-08-12,321.4
1967-08-19,320.4
1967-08-26,320.0
1967-09-02,320.0
1967-09-09,319.4
1967-09-16,319.3
1967-09-23,319.0
1967-09-30,318.8
1967-10-07,318.8
1967-10-14,319.8
1967-10-21,319.4
1967-10-28,319.8
1967-11-04,320.0
1967-11-11,320.3
1967-11-18,320.9
1967-11-25,321.5
1967-12-02,321.4
1967-12-09,321.8
1967-12-16,322.2
1967-12-23,321.9
1967-12-30,322.3
1968-01-06,322.4
1968-01-13,322.5
1968-01-20,322.5
1968-01-27,322.8
1968-02-03,322.6
1968-02-10,323.1
1968-02-17,323.4
1968-02-24,323.1
1968-03-02,323.1
1968-03-09,323.8
1968-03-16,323.8
1968-03-23,324.2
1968-03-30,324.7
1968-04-06,324.7
1968-04-13,325.0
1968-04-20,324.8
1968-04-27,325.4
1968-05-04,325.6
1968-05-11,325.0
1968-05-18,325.5
1968-05-25,325.8
1968-06-01,325.6
1968-06-08,325.7
1968-06-15,325.5
1968-06-22,324.9
1968-06-29,324.6
1968-07-06,324.7
1968-07-13,324.1
1968-07-20,323.9
1968-07-27,323.4
1968-08-03,322.4
1968-08-10,322.2
1968-08-17,322.0
1968-08-24,321.7
1968-08-31,321.4
1968-09-07,320.4
1968-09-14,321.1
1968-09-21,319.7
1968-09-28,319.8
1968-10-05,320.5
1968-10-12,320.5
1968-10-19,320.2
1968-10-26,319.9
1968-11-02,320.7
1968-11-09,320.8
1968-11-16,321.4
1968-11-23,321.7
1968-11-30,322.0
1968-12-07,322.4
1968-12-14,322.9
1968-12-21,323.3
1968-12-28,323.1
1969-01-04,323.3
1969-01-11,324.0
1969-01-18,324.3
1969-01-25,324.1
1969-02-01,324.1
1969-02-08,323.9
1969-02-15,324.3
1969-02-22,324.8
1969-03-01,325.1
1969-03-08,325.5
1969-03-15,325.7
1969-03-22,325.9
1969-03-29,325.8
1969-04-05,326.2
1969-04-12,327.1
1969-04-19,326.5
1969-04-26,326.5
1969-05-03,327.5
1969-05-10,327.8
1969-05-17,326.8
1969-05-24,326.9
1969-05-31,327.4
1969-06-07,326.5
1969-06-14,326.7
1969-06-21,326.7
1969-06-28,326.3
1969-07-05,326.1
1969-07-12,326.0
1969-07-19,325.7
1969-07-26,325.4
1969-08-02,324.5
1969-08-09,324.5
1969-08-16,323.1
1969-08-23,322.5
1969-08-30,323.1
1969-09-06,322.2
1969-09-13,322.7
1969-09-20,322.8
1969-09-27,321.9
1969-10-04,321.5
1969-10-11,321.8
1969-10-18,322.0
1969-10-25,321.9
1969-11-01,322.2
1969-11-08,322.6
1969-11-15,322.7
1969-11-22,323.1
1969-11-29,323.5
1969-12-06,323.9
1969-12-13,323.9
1969-12-20,324.2
1969-12-27,324.5
1970-01-03,324.7
1970-01-10,325.4
1970-01-17,325.0
1970-01-24,324.8
1970-01-31,325.5
1970-02-07,325.7
1970-02-14,326.0
1970-02-21,326.3
1970-02-28,326.1
1970-03-07,326.8
1970-03-14,326.8
1970-03-21,327.5
1970-03-28,326.9
1970-04-04,328.2
1970-04-11,327.8
1970-04-18,327.8
1970-04-25,328.5
1970-05-02,327.9
1970-05-09,327.5
1970-05-16,328.0
1970-05-23,328.3
1970-05-30,327.9
1970-06-06,327.5
1970-06-13,327.8
1970-06-20,327.7
1970-06-27,327.2
1970-07-04,327.2
1970-07-11,326.2
1970-07-18,326.2
1970-07-25,325.6
1970-08-01,325.2
1970-08-08,325.2
1970-08-15,324.8
1970-08-22,324.8
1970-08-29,323.3
1970-09-05,322.9
1970-09-12,323.5
1970-09-19,323.1
1970-09-26,323.1
1970-10-03,323.2
1970-10-10,323.5
1970-10-17,322.9
1970-10-24,323.0
1970-10-31,323.1
1970-11-07,323.6
1970-11-14,323.7
1970-11-21,324.2
1970-11-28,324.7
1970-12-05,324.7
1970-12-12,325.0
1970-12-19,325.2
1970-12-26,325.5
1971-01-02,325.7
1971-01-09,325.8
1971-01-16,325.9
1971-01-23,326.7
1971-01-30,326.6
1971-02-06,326.5
1971-02-13,326.4
1971-02-20,326.7
1971-02-27,327.0
1971-03-06,327.1
1971-03-13,327.3
1971-03-20,327.0
1971-03-27,327.4
1971-04-03,327.4
1971-04-10,327.1
1971-04-17,327.7
1971-04-24,328.5
1971-05-01,328.2
1971-05-08,329.0
1971-05-15,329.2
1971-05-22,328.9
1971-05-29,328.8
1971-06-05,328.5
1971-06-12,328.8
1971-06-19,328.1
1971-06-26,328.5
1971-07-03,327.9
1971-07-10,327.8
1971-07-17,327.5
1971-07-24,326.2
1971-07-31,326.7
1971-08-07,326.1
1971-08-14,325.6
1971-08-21,325.3
1971-08-28,324.0
1971-09-04,323.6
1971-09-11,323.5
1971-09-18,323.2
1971-09-25,323.3
1971-10-02,323.3
1971-10-09,322.9
1971-10-16,323.5
1971-10-23,323.6
1971-10-30,324.4
1971-11-06,324.3
1971-11-13,324.5
1971-11-20,325.0
1971-11-27,325.5
1971-12-04,325.3
1971-12-11,325.9
1971-12-18,326.2
1971-12-25,326.3
1972-01-01,326.6
1972-01-08,326.6
1972-01-15,326.6
1972-01-22,326.6
1972-01-29,327.2
1972-02-05,327.4
1972-02-12,327.9
1972-02-19,327.8
1972-02-26,327.4
1972-03-04,327.5
1972-03-11,327.1
1972-03-18,327.7
1972-03-25,328.6
1972-04-01,328.9
1972-04-08,329.4
1972-04-15,329.8
1972-04-22,330.1
1972-04-29,330.0
1972-05-06,330.0
1972-05-13,329.7
1972-05-20,330.1
1972-05-27,330.2
1972-06-03,329.7
1972-06-10,329.1
1972-06-17,329.0
1972-06-24,328.5
1972-07-01,328.6
1972-07-08,328.3
1972-07-15,327.7
1972-07-22,328.1
1972-07-29,327.5
1972-08-05,326.9
1972-08-12,326.6
1972-08-19,326.5
1972-08-26,325.0
1972-09-02,325.4
1972-09-09,325.7
1972-09-16,324.8
1972-09-23,324.2
1972-09-30,324.2
1972-10-07,324.8
1972-10-14,325.5
1972-10-21,325.1
1972-10-28,325.8
1972-11-04,326.3
1972-11-11,326.1
1972-11-18,326.4
1972-11-25,326.9
1972-12-02,326.9
1972-12-09,327.1
1972-12-16,327.6
1972-12-23,327.9
1972-12-30,328.2
1973-01-06,328.4
1973-01-13,328.4
1973-01-20,328.6
1973-01-27,328.8
1973-02-03,329.1
1973-02-10,329.5
1973-02-17,329.6
1973-02-24,329.7
1973-03-03,329.9
1973-03-10,330.1
1973-03-17,330.5
1973-03-24,330.8
1973-03-31,330.6
1973-04-07,331.2
1973-04-14,331.1
1973-04-21,331.9
1973-04-28,332.1
1973-05-05,332.2
1973-05-12,332.3
1973-05-19,332.6
1973-05-26,332.5
1973-06-02,332.2
1973-06-09,332.5
1973-06-16,332.0
1973-06-23,331.6
1973-06-30,331.4
1973-07-07,331.5
1973-07-14,331.0
1973-07-21,330.0
1973-07-28,330.1
1973-08-04,330.0
1973-08-11,329.5
1973-08-18,329.3
1973-08-25,328.5
1973-09-01,328.4
1973-09-08,327.6
1973-09-15,327.8
1973-09-22,327.1
1973-09-29,326.6
1973-10-06,327.0
1973-10-13,327.4
1973-10-20,327.4
1973-10-27,327.1
1973-11-03,327.5
1973-11-10,328.0
1973-11-17,328.2
1973-11-24,328.5
1973-12-01,329.0
1973-12-08,328.7
1973-12-15,328.6
1973-12-22,328.2
1973-12-29,328.7
1974-01-05,328.9
1974-01-12,329.2
1974-01-19,329.4
1974-01-26,329.8
1974-02-02,330.5
1974-02-09,330.8
1974-02-16,330.6
1974-02-23,330.6
1974-03-02,330.7
1974-03-09,331.2
1974-03-16,332.1
1974-03-23,332.0
1974-03-30,331.5
1974-04-06,332.4
1974-04-13,332.1
1974-04-20,332.9
1974-04-27,333.1
1974-05-04,332.9
1974-05-11,333.0
1974-05-18,333.2
1974-05-25,332.8
1974-06-01,332.9
1974-06-08,332.0
1974-06-15,332.0
1974-06-22,332.2
1974-06-29,331.7
1974-07-06,331.7
1974-07-13,331.2
1974-07-20,330.4
1974-07-27,331.0
1974-08-03,330.0
1974-08-10,329.9
1974-08-17,329.2
1974-08-24,328.9
1974-08-31,328.1
1974-09-07,328.0
1974-09-14,327.3
1974-09-21,326.9
1974-09-28,327.3
1974-10-05,327.3
1974-10-12,327.0
1974-10-19,327.5
1974-10-26,327.7
1974-11-02,327.9
1974-11-09,328.0
1974-11-16,328.8
1974-11-23,328.6
1974-11-30,328.7
1974-12-07,329.5
1974-12-14,329.7
1974-12-21,329.8
1974-12-28,329.7
1975-01-04,329.9
1975-01-11,329.8
1975-01-18,330.2
1975-01-25,331.1
1975-02-01,331.1
1975-02-08,331.4
1975-02-15,331.0
1975-02-22,331.7
1975-03-01,331.8
1975-03-08,331.6
1975-03-15,331.9
1975-03-22,332.2
1975-03-29,332.5
1975-04-05,333.0
1975-04-12,333.5
1975-04-19,333.5
1975-04-26,333.1
1975-05-03,333.9
1975-05-10,333.9
1975-05-17,333.7
1975-05-24,333.7
1975-05-31,334.1
1975-06-07,333.8
1975-06-14,333.3
1975-06-21,333.4
1975-06-28,333.1
1975-07-05,332.7
1975-07-12,332.0
1975-07-19,331.0
1975-07-26,331.5
1975-08-02,330.8
1975-08-09,330.7
1975-08-16,330.3
1975-08-23,329.3
1975-08-30,328.8
1975-09-06,329.4
1975-09-13,328.5
1975-09-20,328.0
1975-09-27,328.2
1975-10-04,328.0
1975-10-11,328.0
1975-10-18,328.5
1975-10-25,328.8
1975-11-01,329.3
1975-11-08,329.2
1975-11-15,329.1
1975-11-22,329.5
1975-11-29,330.1
1975-12-06,330.3
1975-12-13,330.5
1975-12-20,331.1
1975-12-27,331.2
1976-01-03,331.5
1976-01-10,331.5
1976-01-17,331.7
1976-01-24,331.8
1976-01-31,332.2
1976-02-07,332.1
1976-02-14,332.5
1976-02-21,333.2
1976-02-28,332.4
1976-03-06,332.8
1976-03-13,333.6
1976-03-20,333.1
1976-03-27,334.3
1976-04-03,334.7
1976-04-10,334.2
1976-04-17,334.4
1976-04-24,334.5
1976-05-01,334.7
1976-05-08,334.3
1976-05-15,334.6
1976-05-22,335.4
1976-05-29,334.8
1976-06-05,334.3
1976-06-12,334.6
1976-06-19,334.3
1976-06-26,
1976-07-03,333.6
1976-07-10,333.4
1976-07-17,332.8
1976-07-24,332.4
1976-07-31,332.1
1976-08-07,331.7
1976-08-14,330.6
1976-08-21,330.6
1976-08-28,330.0
1976-09-04,329.7
1976-09-11,330.0
1976-09-18,329.3
1976-09-25,328.4
1976-10-02,328.8
1976-10-09,329.0
1976-10-16,329.6
1976-10-23,329.1
1976-10-30,329.0
1976-11-06,329.8
1976-11-13,330.4
1976-11-20,330.5
1976-11-27,330.7
1976-12-04,331.1
1976-12-11,331.3
1976-12-18,331.9
1976-12-25,332.2
1977-01-01,332.5
1977-01-08,332.4
1977-01-15,333.1
1977-01-22,333.2
1977-01-29,333.2
1977-02-05,333.4
1977-02-12,333.3
1977-02-19,333.4
1977-02-26,333.6
1977-03-05,334.1
1977-03-12,334.6
1977-03-19,335.1
1977-03-26,335.0
1977-04-02,335.5
1977-04-09,335.9
1977-04-16,336.0
1977-04-23,336.1
1977-04-30,336.7
1977-05-07,336.8
1977-05-14,336.4
1977-05-21,336.8
1977-05-28,336.7
1977-06-04,336.4
1977-06-11,336.3
1977-06-18,336.1
1977-06-25,336.0
1977-07-02,335.5
1977-07-09,335.1
1977-07-16,335.1
1977-07-23,334.6
1977-07-30,333.7
1977-08-06,333.0
1977-08-13,332.9
1977-08-20,332.8
1977-08-27,332.8
1977-09-03,332.1
1977-09-10,331.2
1977-09-17,332.1
1977-09-24,330.9
1977-10-01,330.4
1977-10-08,330.9
1977-10-15,331.5
1977-10-22,331.5
1977-10-29,331.7
1977-11-05,332.1
1977-11-12,332.0
1977-11-19,332.5
1977-11-26,332.8
1977-12-03,333.2
1977-12-10,333.5
1977-12-17,333.8
1977-12-24,334.2
1977-12-31,334.6
1978-01-07,334.2
1978-01-14,334.6
1978-01-21,335.4
1978-01-28,335.9
1978-02-04,335.0
1978-02-11,335.1
1978-02-18,335.6
1978-02-25,335.7
1978-03-04,336.2
1978-03-11,336.1
1978-03-18,336.8
1978-03-25,337.3
1978-04-01,337.0
1978-04-08,337.9
1978-04-15,337.9
1978-04-22,337.4
1978-04-29,338.0
1978-05-06,338.0
1978-05-13,338.1
1978-05-20,337.8
1978-05-27,337.9
1978-06-03,338.4
1978-06-10,338.2
1978-06-17,337.8
1978-06-24,337.3
1978-07-01,337.6
1978-07-08,336.7
1978-07-15,336.7
1978-07-22,335.9
1978-07-29,335.6
1978-08-05,335.1
1978-08-12,334.8
1978-08-19,334.4
1978-08-26,334.3
1978-09-02,333.8
1978-09-09,332.8
1978-09-16,332.1
1978-09-23,332.3
1978-09-30,332.7
1978-10-07,332.1
1978-10-14,332.4
1978-10-21,333.0
