id,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Stage,Legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,2,FALSE
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,3,FALSE
4,Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE
5,Charmeleon,Fire,,405,58,64,58,80,65,80,2,FALSE
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,3,FALSE
7,Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE
8,Wartortle,Water,,405,59,63,80,65,80,58,2,FALSE
9,Blastoise,Water,,530,79,83,100,85,105,78,3,FALSE
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE
11,Metapod,Bug,,205,50,20,55,25,25,30,2,FALSE
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,3,FALSE
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,2,FALSE
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,3,FALSE
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,2,FALSE
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,3,FALSE
19,Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE
20,Raticate,Normal,,413,55,81,60,50,70,97,2,FALSE
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,2,FALSE
23,Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE
24,Arbok,Poison,,438,60,85,69,65,79,80,2,FALSE
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE
26,Raichu,Electric,,485,60,90,55,90,80,110,2,FALSE
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE
28,Sandslash,Ground,,450,75,100,110,45,55,65,2,FALSE
29,Nidoran‰ªÛ,Poison,,275,55,47,52,40,40,41,1,FALSE
30,Nidorina,Poison,,365,70,62,67,55,55,56,2,FALSE
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,3,FALSE
32,Nidoran‰ªâ,Poison,,273,46,57,40,40,40,50,1,FALSE
33,Nidorino,Poison,,365,61,72,57,55,55,65,2,FALSE
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,3,FALSE
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,FALSE
36,Clefable,Fairy,,483,95,70,73,95,90,60,2,FALSE
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,FALSE
38,Ninetales,Fire,,505,73,76,75,81,100,100,2,FALSE
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,2,FALSE
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,2,FALSE
