,About your interest,Briefs and Interests,Stage of your startup/Employer?,Specific Connect,Reason for specific connect,Helping for others,area,city,expertise0,expertise1,expertise2,expertise3,expertise4,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9
0,phd student crowndfunding for travelling to reputed international events 33 successful ones help and interact with students and entrepreneurs always a scholarship student,"Post-Graduate Student, Startup Founder, Mentor, freelancer",MVP (proof of concept is out with select customers),,"Business Partnership, speaking gigs, tech support, college networks, funding contacts",Mentor students in choosing Research areas and help them come out of dilemma of Research and Entrepreneurship. Also help people with jobs and internships. Help businesses with good vendors through my network. Help Startups with product ideation and validation strategies.,Mumbai,,Sales, Product Design, Digital Marketing, Community building, Growth,Edu-tech,,,,,,,,
1,nan,"Under-Graduate Student, freelancer",Don't have a startup,,,,Bhubneswar,,Digital Marketing,,,,,Content Writing ,,,,,,,,
2,nan,"Under-Graduate Student, Working Professional","Growth (multiple customer, positive revenue, making profits)",,Community and build connections ,Whatever I can....,Uppal, Hyderabad,Operations, Sales,,,,Fin Tech, Food Tech, Hospitality,,,,,,
3,nan,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,,,Hyderabad,,Product Development, Product Design,,,,Fin Tech, AI,,,,,,,
4,nan,freelancer,"Growth (multiple customer, positive revenue, making profits)",,,"Business Development, Growth Statergies",Vijayawada,,Sales, Product Development, Digital Marketing, Community building,,Media and Advertising,,,,,,,,
5,aspiring entrepreneur worked on 2 startups  one in edutech and the other in agritech and quit both temporarily,"Under-Graduate Student, Startup Founder",Don't have a startup,,,,Bengaluru,,Operations, Sales, Product Development, Product Design,,Agri Tech,,,,,,,,
6,hi am sankeerth am an undergrad at bits pilani hyderabad campus i am a startup enthusiast and love knowing about startups i previously co founded a startup called bestpricedudecom which failed eventually currently working on few ideas for a new venture on a platform for startup deals,"Under-Graduate Student, Startup Founder, freelancer",Ideation (brainstorming around few ideas),,,I would love to know there problems and can help in any possible way i can,hyderabad,,Operations, Digital Marketing,,,,Product based and travel,,,,,,,,
7,im a student of bits pilani hyderabad campus and a startup enthusiast as well,Under-Graduate Student,Don't have a startup,,,,Hyderabad,,Operations, Product Development, Digital Marketing, Community building,,Fin Tech, AI, Blockchain,,,,,,
8,httpswwwfacebookcomrobertdewittbukater,"Under-Graduate Student, Startup Founder, Mentor","Growth (multiple customer, positive revenue, making profits)",,"Whenever I come across anything for which I need guidance, I have always used the platform with opinionated posts and questions for the group for which I have got the required answers and insights.","Ecosystem building, Mentoring, Market Research and Analysis",Visakhapatnam,,Operations, Community building,,,,Food Tech, Corporate Finance | Investment Strategies | Market Research and Analysis ,,,,,,,
9,nan,Startup Founder,MVP (proof of concept is out with select customers),,,Through leads if i knw smeone,Hyderabad,,Sales,,,,,,,,,,,,,
