Current Area and City of Residence? ,A brief about you and your interests? ,Which of the following will best describe your current profession? ,Your startup/expertise lies in which of the following industries? (Try to be as specific as possible),What is your domain of expertise? (Try to be as specific as possible),Stage of your startup/Employer? ,Any specific connect you are currently seeking? ,Why are you seeking the above mentioned Connect? ,How do you think you can help other pushstarters? 
Mumbai,"PhD student, crowndfunding for travelling to reputed international events (3/3 successful ones); help and interact with students and Entrepreneurs, always a scholarship Student","Post-Graduate Student, Startup Founder, Mentor, freelancer",Edu-tech,"Sales, Product Design, Digital Marketing, Community building, Growth",MVP (proof of concept is out with select customers),,"Business Partnership, speaking gigs, tech support, college networks, funding contacts",Mentor students in choosing Research areas and help them come out of dilemma of Research and Entrepreneurship. Also help people with jobs and internships. Help businesses with good vendors through my network. Help Startups with product ideation and validation strategies.
Bhubneswar,,"Under-Graduate Student, freelancer",Content Writing ,Digital Marketing,Don't have a startup,,,
"Uppal, Hyderabad",,"Under-Graduate Student, Working Professional","Fin Tech, Food Tech, Hospitality","Operations, Sales","Growth (multiple customer, positive revenue, making profits)",,Community and build connections ,Whatever I can....
Hyderabad,,Working Professional,"Fin Tech, AI","Product Development, Product Design","Growth (multiple customer, positive revenue, making profits)",,,
Vijayawada,,freelancer,Media and Advertising,"Sales, Product Development, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",,,"Business Development, Growth Statergies"
Bengaluru,"Aspiring entrepreneur; worked on 2 startups - one in edutech and the other in agritech, and quit both temporarily;","Under-Graduate Student, Startup Founder",Agri Tech,"Operations, Sales, Product Development, Product Design",Don't have a startup,,,
hyderabad,"Hi ,am sankeerth am an undergrad at bits pilani hyderabad campus
I am a startup enthusiast and love knowing about startups
I previously co founded a startup called bestpricedude.com which failed eventually
Currently working on few ideas for A new venture on a platform for startup deals ","Under-Graduate Student, Startup Founder, freelancer",Product based and travel,"Operations, Digital Marketing",Ideation (brainstorming around few ideas),,,I would love to know there problems and can help in any possible way i can
Hyderabad,I'm a student of BITS Pilani Hyderabad Campus and a startup enthusiast as well.,Under-Graduate Student,"Fin Tech, AI, Blockchain","Operations, Product Development, Digital Marketing, Community building",Don't have a startup,,,
Visakhapatnam,https://www.facebook.com/RobertDeWittBukater,"Under-Graduate Student, Startup Founder, Mentor","Food Tech, Corporate Finance | Investment Strategies | Market Research and Analysis ","Operations, Community building","Growth (multiple customer, positive revenue, making profits)",,"Whenever I come across anything for which I need guidance, I have always used the platform with opinionated posts and questions for the group for which I have got the required answers and insights.","Ecosystem building, Mentoring, Market Research and Analysis"
Hyderabad,,Startup Founder,,Sales,MVP (proof of concept is out with select customers),,,Through leads if i knw smeone
