custname,region,partnum,revenue,cost,margin
3M COMPANY,01-East,727032005,24097.50,19851.82,4245.68
4-STATE SUPPLY,01-East,735602000,156200.00,52381.38,103818.62
4-STATE SUPPLY,01-East,777143000,34927.20,15382.08,19545.12
4-STATE SUPPLY,01-East,777142000,21989.40,12562.50,9426.90
4-STATE SUPPLY,01-East,735750000,12487.00,3686.91,8800.09
A G C INC.,01-East,791104479,78642.00,18147.40,60494.60
A G C INC.,01-East,791106280,3340.46,7614.14,-4273.68
A P S TECHNOLOGY,01-East,764521000,333.00,13.27,319.73
A W CHESTERTON COMPANY,01-East,770560000,2937.60,258.27,2679.33
A W CHESTERTON COMPANY,01-East,770568000,1029.00,89.50,939.50
A&F WHOLESALE INSULATION,01-East,770264000,95134.50,41677.18,53457.32
A&F WHOLESALE INSULATION,01-East,735602000,89103.50,26645.65,62457.85
A&F WHOLESALE INSULATION,01-East,764861000,70882.00,30089.92,40792.08
A&F WHOLESALE INSULATION,01-East,764521000,70611.00,22683.19,47927.81
A&F WHOLESALE INSULATION,01-East,770220200,69066.00,21411.45,47654.55
A&F WHOLESALE INSULATION,01-East,724281200,45570.00,24306.87,21263.13
A&F WHOLESALE INSULATION,01-East,733151500,21384.00,5113.93,16270.07
A&F WHOLESALE INSULATION,01-East,764901000,12155.00,3649.65,8505.35
A&F WHOLESALE INSULATION,01-East,770380000,12140.00,2314.54,9825.46
A&F WHOLESALE INSULATION,01-East,735602110,11028.00,3418.00,7610.00
A&F WHOLESALE INSULATION,01-East,770200000,10953.00,2403.03,8549.97
A&F WHOLESALE INSULATION,01-East,737271000,6025.70,9870.84,-3845.14
A&F WHOLESALE INSULATION,01-East,770540000,4897.38,474.88,4422.50
A&F WHOLESALE INSULATION,01-East,733525600,4692.50,868.02,3824.48
A&F WHOLESALE INSULATION,01-East,764821000,4390.00,1356.36,3033.64
A&F WHOLESALE INSULATION,01-East,738521000,2373.12,1601.27,771.85
A&F WHOLESALE INSULATION,01-East,739561200,1628.80,659.65,969.15
A&F WHOLESALE INSULATION,01-East,764781000,1594.00,408.90,1185.10
A&F WHOLESALE INSULATION,01-East,770512000,1192.55,88.67,1103.88
