word,freq
Able,50
Accepting,41
Accurate,5
Achieving,33
Adaptable,11
Adorable,57
Adventurous,16
Affectionate,66
Alert,81
Alive,70
Altruistic,84
Amazing,57
Ambitious,46
Analytical,80
Appreciative,74
Appealing,52
Artistic,30
Assertive,31
Astonishing,12
Attentive,65
Attractive,89
Authentic,39
Aware,22
Awesome,52
Balanced,66
Beautiful,80
Blissful,6
Blooming,30
Bold,35
Bountiful,26
Brave,12
Breath-Taking,37
Bright,85
Calm,95
Capable,46
Careful,86
Carefree,85
Caring,51
Cautious,17
Centered,35
Certain,99
Charitable,73
Charming,88
Cheeky,98
Cheerful,91
Chirpy,93
Civic-Minded,30
Clean,17
Colorful,97
Competitive,89
Clear-Thinking,58
Communicative,78
Compassionate,88
Compatible,96
Competitive,26
Complete,30
Confident,5
Conscientious,39
Considerate,17
Conservative,100
Consistent,18
Content,84
Cooperative,94
Courageous,64
Conscientious,20
Courteous,52
Creative,22
Cuddly,15
Curious,28
Cultural,97
Cute,57
Decisive,8
Deliberate,78
Delicate,98
Delicious,10
Delightful,67
Dependable,73
Desirable,70
Determined,20
Devoted,97
Disciplined,20
Discrete,31
Discriminating,55
Dynamic,60
Easy-Going,63
Eager,82
Efficient,47
Elegant,37
Empathetic,41
Enduring,68
Energetic,31
Enlightened,73
Enthusiastic,96
Entrepreneurial,99
Excellent,74
Exciting,49
Experienced,44
Fair-Minded,21
Faithful,32
Farsighted,23
Fast-learner,54
Feeling,52
Fierce,34
Flexible,52
Flourishing,44
Focused,25
Forgiving,60
Fortuitous,54
Free,66
Fresh,7
Friendly,8
Frugal,69
Funny,91
Generous,62
Gentle,89
Good,86
Glorious,11
Graceful,77
Gratuitous,34
Great,69
Groovy,83
Handsome,10
Happy,23
Harmonious,45
Healthy,9
Heavenly,51
Helpful,24
Holistic,44
Hopeful,98
Humble,79
Humorous,39
Honest,35
Humble,10
Idealistic,90
Imaginative,38
Having Integrity,37
Independent,25
Individualistic,48
Industrious,6
Innovative,5
Insightful,91
Inspirational,14
Interesting,68
Intelligent,20
Intense,56
Intuitive,69
Inventive,66
Invigorating,28
Joyful,26
Juicy,98
Just,11
Kind,28
Leading or Leader,71
Learned,88
Loving,47
Loyal,53
Lucky,50
Luscious,5
Luxurious,97
Macho,43
Magical,26
Manly,21
Magnificent,47
Masculine,72
Mature,97
Moral,79
Motivating,99
Natural,69
Neat,90
Needed,66
Noticeable,6
Nurturing,15
Obedient,61
Objective,8
Open,18
Optimistic,34
Original,96
Organized,100
Outgoing,50
Outstanding,76
Passionate,25
Patient,23
Peaceful,72
Perceptive,24
Persevering,73
Persistent,69
Persuasive,77
Playful,46
Poetic,96
Polite,69
Popular,25
Powerful,33
Practical,44
Precious,81
Precise,32
Profound,55
Progressive,79
Proud,37
Professional,44
Punctual,78
Pure,26
Purposeful,59
Questioning,34
Quick-witted,83
Ravishing,20
Realistic,11
Refreshing,32
Reliable,11
Resilient,6
Resourceful,96
Respectful,53
Responsible,36
Rich,75
Romantic,12
Rosy,20
Seductive,22
Selfless,25
SelfAware,78
SelfConfident,70
SelfDisciplined,84
Sensitive,17
Serene,68
Sexy,79
Sharp,47
Simple,74
Sincere,61
Sizzling,69
Skilled,31
Smart,50
Smooth,39
Soft,67
Special,100
Spectacular,98
Spiritual,9
Splendid,95
Spontaneous,69
Stable,31
Steadfast,84
Strategic,29
Stunning,70
Strong,38
Strongwilled,34
Stylish,42
Successful,92
Supportive,66
Supreme,85
Sympathetic,78
Tactful,88
Talented,71
Tasty,10
Tenacious,42
Tender,68
Terrific,99
Thinking,22
Thorough,41
Thoughtful,64
Thrifty,70
Thriving,14
Tolerant,20
Tough,38
Trusting,77
Trustworthy,47
Unassuming,57
Understanding,14
Unwavering,12
Uplifting,35
Useful,78
Valuable,70
Verbal,90
Vibrant,92
Vital,50
Warm,28
Wholesome,28
Willing,96
Wise,58
Worthy,54
Youthful,84
Yummy,17
